11500316;Sección de Educación Permanente;La Paz (Cuartillos);Público;C/ Cortés  Km.11 3 Bda. Cuartillo;Jerez de la Frontera;Jerez de la Frontera;Cádiz;11593;856811841;ADU
11500559;Centro de Educación Permanente;Xémina;Público;C/ Sevilla  77;Jimena de la Frontera;Jimena de la Frontera;Cádiz;11330;956641364;ADU
11500286;Sección de Educación Permanente;Bucharaque(La Barca de la Florida);Público;C/ Ancha  4. Centro Cultural la Barca;La Barca de la Florida;Jerez de la Frontera;Cádiz;11570;856811563;ADU
11500547;Centro de Educación Permanente;Almadraba;Público;C/ Virgen de la Palma  s/n. Aptdo. de correos 385;La Línea de la Concepción;La Línea de la Concepción;Cádiz;11300;956670287;ADU
11500584;Sección de Educación Permanente;Villa de los Barrios;Público;C/ Vega Maldonado  19;Los Barrios;Los Barrios;Cádiz;11370;956670271;ADU
11500511;Sección de Educación Permanente;El Caminillo;Público;Paseo Parque El Caminillo  edif El Caminillo;Medina-Sidonia;Medina-Sidonia;Cádiz;11170;956412193;ADU
11500365;Sección de Educación Permanente;Nueva Jarilla;Público;C/ Ronda del Troval  s/n (Centro Social);Nueva Jarilla;Jerez de la Frontera;Cádiz;11592;;ADU
11500018;Centro de Educación Permanente;Pueblos Blancos;Público;Plaza de la Concordia;Olvera;Olvera;Cádiz;11690;956128640;ADU
11500523;Sección de Educación Permanente;Arco Iris;Público;C/ Alcalde Ramón Dávila  1;Paterna de Rivera;Paterna de Rivera;Cádiz;11178;956418540;ADU
11500122;Sección de Educación Permanente;Prado del Rey;Público;C/ Bellavista  s/n;Prado del Rey;Prado del Rey;Cádiz;11660;956724229;ADU
11500407;Centro de Educación Permanente;Ribera del Mar;Público;Plaza de la Jarcia  s/n;Puerto Real;Puerto Real;Cádiz;11510;956835409;ADU
11500092;Sección de Educación Permanente;La Toleta;Público;C/ de las Escuelas  s/n;Puerto Serrano;Puerto Serrano;Cádiz;11659;127436;ADU
11500249;Sección de Educación Permanente;Baifora;Público;C/ Lora del Río  s/n;Rota;Rota;Cádiz;11520;956243269;ADU
11500419;Centro de Educación Permanente;María Zambrano;Público;C/ San Bruno  18;San Fernando;San Fernando;Cádiz;11100;956944279;ADU
11500298;Sección de Educación Permanente;El Mimbral;Público;C/ Merced  7;San José del Valle;San José del Valle;Cádiz;11580;856811708;ADU
11500596;Centro de Educación Permanente;Albalate;Público;C/ Almoraima  15;San Roque;San Roque;Cádiz;11360;956670276;ADU
11500213;Centro de Educación Permanente;Mardeleva;Público;C/ Camino del Instituto  s/n.;Sanlúcar de Barrameda;Sanlúcar de Barrameda;Cádiz;11540;956386986;ADU
11500043;Sección de Educación Permanente;La Villa;Público;C/ Plaza de la Villa  12;Setenil de las Bodegas;Setenil de las Bodegas;Cádiz;11692;956128666;ADU
11500572;Sección de Educación Permanente;Tarifa;Público;C/ Los Lances  s/n (IES Baelo Claudia);Tarifa;Tarifa;Cádiz;11380;956670180;ADU
11500021;Sección de Educación Permanente;Aihaquem;Público;C/ Cerro de la Cruz  6;Torre-Alháquime;Torre-Alháquime;Cádiz;11691;956128642;ADU
11500331;Sección de Educación Permanente;Torrecera;Público;C/ Artesanía y Toriles  s/n;Torrecera;Jerez de la Frontera;Cádiz;11595;671592017;ADU
11500237;Sección de Educación Permanente;Almijar;Público;C/ 28 de Febrero  7;Trebujena;Trebujena;Cádiz;11560;856811557;ADU
11500161;Centro de Educación Permanente;Siete Villas;Público;C/ Ingeniero Romero Carrasco  36;Ubrique;Ubrique;Cádiz;11600;956128693;ADU
11500481;Sección de Educación Permanente;Hazas de Suerte;Público;C/ La Fuente  s/n;Vejer de la Frontera;Vejer de la Frontera;Cádiz;11150;956450404;ADU
11500183;Sección de Educación Permanente;Villaluenga del Rosario;Público;C/ General Franco  s/n;Villaluenga del Rosario;Villaluenga del Rosario;Cádiz;11611;956128697;ADU
11500080;Sección de Educación Permanente;Villamartín;Público;C/ Encrucijada  26;Villamartín;Villamartín;Cádiz;11650;956709691;ADU
11500079;Sección de Educación Permanente;Castillo de Zahara;Público;C/ Peña  s/n;Zahara;Zahara;Cádiz;11688;956128691;ADU
